rating,offer,price,mrp,results,title_name
,76% off,₹473,"1,999",https://www.flipkart.com/rasso-men-brown-genuine-leather-wallet/p/itmfcm7vhchfr3xb?pid=WCWFCHZNZET3JZKM&lid=LSTWCWFCHZNZET3JZKMCYQKE7&marketplace=FLIPKART&srno=b_2_70&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_CLnHkEwOg5AJtQsnnnXu%2BfbuKqynHBwsWYakYI4wsmq9TnG%2BEshuyIbr9SmYcA99%2FD7z%2FZO%2F9sFfELgwJN2trw%3D%3D,"Men Brown Genuine Leather Wallet,  (8 Card Slots)"
,69% off,₹399,"1,299",https://www.flipkart.com/orkee-men-black-artificial-leather-wallet/p/itmfg9cehkhmuhgn?pid=WCWFG9FFFWNYDYFU&lid=LSTWCWFG9FFFWNYDYFUOBIGKQ&marketplace=FLIPKART&srno=b_10_400&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_g%2B%2Fiuh6n7ah%2BR5Ivmdk%2FEfks5lO1bNu3PGogN%2FPpW1%2B%2B7gkbnJQaM26VCSQO45PABVnq1SgL6nk8Sp%2BbSfH7rg%3D%3D,"Men Black Artificial Leather Wallet,  (12 Card Slots)"
,81% off,₹240,"1,299",https://www.flipkart.com/styler-king-boys-tan-artificial-leather-wallet/p/itmf3zefrtkbytsb?pid=WCWEQSACFCCWHTWH&lid=LSTWCWEQSACFCCWHTWHQ25QLV&marketplace=FLIPKART&srno=b_10_399&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=b6744c67-69de-4f42-99d5-efa2bd30618f.WCWEQSACFCCWHTWH.SEARCH,"Boys Tan Artificial Leather Wallet,  (6 Card Slots)"
,87% off,₹159,"1,299",https://www.flipkart.com/lusso-pelle-men-brown-artificial-leather-wrist-wallet/p/itmf3zdzfn72hyaq?pid=WCWEQEWXTXVYEXZG&lid=LSTWCWEQEWXTXVYEXZGA7GWLM&marketplace=FLIPKART&srno=b_10_398&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=5fff2537-f5eb-49b7-bed1-ef73f951b561.WCWEQEWXTXVYEXZG.SEARCH,"Men Brown Artificial Leather Wrist Wallet,  (5 Card Slots)"
,77% off,₹179,799,https://www.flipkart.com/wenzest-boys-formal-casual-brown-artificial-leather-wallet/p/itmf3zexua589qkv?pid=WCWEX2YKERYGZG7H&lid=LSTWCWEX2YKERYGZG7HAABIZ7&marketplace=FLIPKART&srno=b_2_69&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=2a816ba4-8b00-4aa9-ac8a-c2be82d235ac.WCWEX2YKERYGZG7H.SEARCH,"Boys Formal, Casual Brown Artificial Leather Wallet,  (10 Card Slots)"
,85% off,₹189,"1,299",https://www.flipkart.com/beautylife-men-tan-genuine-leather-wallet/p/itmf4a7k7pxzm4n2?pid=WCWF4AFYJSDPPGGU&lid=LSTWCWF4AFYJSDPPGGUHIQMUD&marketplace=FLIPKART&srno=b_9_321&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=b7cb5542-0fd6-4a53-baea-e07f6570bf8c.WCWF4AFYJSDPPGGU.SEARCH,"Men Tan Genuine Leather Wallet,  (7 Card Slots)"
,82% off,₹229,"1,299",https://www.flipkart.com/rosset-men-tan-artificial-leather-wallet/p/itmf3zeypdqvwaby?pid=WCWEGTZYQSKDWRDH&lid=LSTWCWEGTZYQSKDWRDHI0VR3I&marketplace=FLIPKART&srno=b_2_71&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=3bac193d-2a6b-4731-af8d-08da3ea700bd.WCWEGTZYQSKDWRDH.SEARCH,"Men Tan Artificial Leather Wallet,  (5 Card Slots)"
,61% off,₹389,998,https://www.flipkart.com/stealodeal-full-brown-double-leather-15-card-holder/p/itmekftvaqdptup2?pid=CHDEKFTVZEH8KSDW&lid=LSTCHDEKFTVZEH8KSDW8ELINM&marketplace=FLIPKART&srno=b_5_161&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=fb13c5a6-4418-414e-93e0-9012e0919b59.CHDEKFTVZEH8KSDW.SEARCH,"Stealodeal Full Brown Double Leather 15 Card Holder,  (Set of 2, Brown)"
,81% off,₹549,"2,999",https://www.flipkart.com/hidelink-men-casual-brown-genuine-leather-wallet/p/itmf3zdgggzq2pgu?pid=WCWEXAZXS6M6R2BN&lid=LSTWCWEXAZXS6M6R2BNYUTOYS&marketplace=FLIPKART&srno=b_8_320&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=en_p7M6sUATuDDiKq4QpxyRmUPpmpchR5PzqdTUJbdBAgLfPQ51yDD4duFS%2Femm69whF1dByTI%2Bld9WZ9pR%2BlhHcw%3D%3D,"Men Casual Brown Genuine Leather Wallet,  (6 Card Slots)"
,64% off,₹249,699,https://www.flipkart.com/k-london-men-casual-formal-black-beige-artificial-leather-fabric-wallet/p/itmdppzrbsudwfth?pid=WCWDPPZQQ77RUYTV&lid=LSTWCWDPPZQQ77RUYTVBWBCR8&marketplace=FLIPKART&srno=b_8_281&otracker=hp_omu_Mid%2BSeason%2BClearance%2BSale_1_Min.%2B60%2525%2BOff_3HCZHOH0UZ_1&fm=organic&iid=b2e3dfc1-702a-416d-be8f-2c1ecbfe2a71.WCWDPPZQQ77RUYTV.SEARCH,"Men Casual, Formal Black, Beige Artificial Leather, Fabric Wallet,  (3 Card Slots)"
